titulo,autor(es),editora,descrição
A História do Ladrão de Corpos,Anne Rice,,"Na continuação do best-seller Entrevista com o Vampiro, o irresistível vampiro Lestat tem a oportunidade de trocar o seu corpo pelo de um cantor de rock e sentir as sensações de um mortal. É também a chance de Raglan James experimentar os poderes de um imortal. 
 

Depois de alcançar o sucesso durante sua curta carreira de cantor de rock, no entanto, o dono do corpo imortal não quer desfazer a troca. Lestat parte em uma jornada para resgatar sua imortalidade. Com a ajuda de David Talbot, um amigo imortal, Lestat se enfronha no candomblé e espiritismo. Torturado por seu amor, suas dúvidas e sua solidão secular, ele se vê dividido pela possibilidade de ser humano outra vez ou retomar sua vida imortal. Mas uma coisa o perturba. E se o estranho não lhe devolver mais o corpo?
"
Cristo Senhor: A Saída do Egito,Anne Rice,,"Muito já foi dito sobre a fase adulta de Jesus Cristo. Mas como teria sido a infância de um dos maiores símbolos da fé católica? Em Cristo Senhor – A saída do Egito, Anne Rice nos mostra Jesus aos 7 anos, tomando consciência aos poucos de que é diferente das outras crianças e tentando entender por que isso acontece. A autora mescla uma minuciosa pesquisa histórica a elementos de ficção para apresentar um Cristo humanizado, que conduz a narrativa em primeira pessoa e divide com os leitores suas dúvidas, seus medos e suas descobertas.
 

A trama começa no Egito, para onde José, Maria e alguns parentes fugiram, a fim de manter o filho de Deus a salvo da fúria do rei Herodes. Até o dia em que um anjo avisa a José que é hora de voltar para casa: a cidade de Nazaré, na região ocupada atualmente por Israel. Antes, entretanto, eles decidem fazer uma parada para acompanhar a grande festa da Páscoa no Templo de Jerusalém. Mas, com a morte de Herodes, a cidade é invadida por soldados que cancelam a comemoração e espalham um rastro de sangue e terror. Assustada, a família de Jesus continua a jornada até Nazaré, se deparando com homens violentos no caminho e ouvindo rumores sobre as batalhas entre os romanos, que dominavam a região, e os rebeldes que pretendiam tomar o poder.
 

Desde o início do livro, percebemos um Cristo totalmente sintonizado com o judaísmo, cuja educação é baseada na Torá e nas tradições orais contidas nela. Uma das fontes de consulta de Anne Rice foram os Evangelhos Apócrifos, que descrevem milagres feitos por Jesus ainda criança, como dar vida a pássaros de barro moldados durante uma aula em Alexandria, no Egito. Por não ter a exata dimensão de seus dons, o filho de Deus mata Eleazar, um vizinho valentão que costumava persegui-lo, e acaba trazendo-o de volta à vida, causando uma grande confusão. Ao mesmo tempo que vai percebendo do que é capaz, Jesus fica cada vez mais curioso a respeito de seu passado e das histórias que envolvem seu nascimento. Ele sabe que não é filho de José, mas tanto o carpinteiro quanto Maria o proíbem de fazer perguntas, dizendo que lhe contarão tudo quando chegar a hora.
 

Com o passar dos meses, Jesus começa a juntar todas as peças que encontra para tentar desvendar sozinho o seu passado. Fragmentos de conversas em família, lembranças de passagens da própria vida e histórias contadas por um rabino ajudam a montar o quebra-cabeça, que só fica completo quando Maria finalmente decide revelar tudo ao filho. Nas últimas páginas de Cristo Senhor, quem faz revelações é a autora, descrevendo a ligação dela com o catolicismo, o motivo de ter rompido com a Igreja e o retorno à fé católica, em 1998. Anne Rice ainda oferece aos leitores detalhes da extensa pesquisa feita para escrever a obra, avalia suas fontes de consulta e narra o processo que a levou a querer contar a infância de Jesus.
"
Lasher,Anne Rice,,"A fé e o conhecimento profundo das questões da espiritualidade seriam sem dúvida o impulso que leva a escritora Anne Rice a construir uma obra toda voltada para os mistérios ocultos da vida e para as estranhas energias que dão aos seres humanos poderes mágicos, vida e morte. Em Lasher, ela conta mais uma trajetória fantástica de várias gerações de bruxas de Nova Orleans: a incestuosíssima família Mayfair, milionária e moderna, porém marcada pelo demônio que percorre a sua linhagem através dos séculos.
 

Lasher, publicado em 1993 nos Estados Unidos, é na verdade a continuação de A hora das bruxas, escrito em 1990. A hora das bruxas termina quando a supercirurgiã Rowan Mayfair e seu marido Michael Curry dão vida à entidade no tapete de sua sala. Ao nascer, Lasher se levanta e vai ao encontro de sua mãe, seqüestrando-a e levando-a para longe, com a idéia fixa de se reproduzir e repovoar a terra com sua espécie.
 

A fecundação é imediata, mas a reprodução impossível, a menos que o demônio encontre alguém com a conjunção ideal de homem e mulher com 92 cromossomas. A história começa neste ponto de tormento. Rowan tentando se libertar da tirania do filho, enquanto dá à luz a Emaleth, irmã e mulher de Lasher. O romance é mais do que este conflito. É toda a vida das gerações Mayfair. É a bruxinha Mona Mayfair, de 13 anos, que tenta seduzir todos os parentes, especialmente o tio Michael. Todas elas são histórias deliciosas do tio-fantasma Julien.
"
Taltos,Anne Rice,,"Anne Rice é uma das escritoras de maior sucesso da literatura atual. Seus romances góticos são objeto de culto no mundo inteiro, principalmente as badaladas séries das Crônicas Vampirescas e das Histórias dos Bruxos Mayfair, a que Taltos dá continuidade.
 

Mais do que um livro, o que a autora pretende é apresentar um mundo particular. Se em A hora das bruxas, Rice apresentou a família Mayfair – uma dinastia oculta de Nova Orleans, que a cada geração tem um de seus membros designados para receber os poderes de uma entidade conhecida como Lasher, em Taltos, uma das Mayfair, Rowan, gera uma outra criatura. Anne Rice foi descobrir no folclore húngaro a figura do Taltos – um feiticeiro com poder de descobrir e combater bruxas. A autora expandiu esse conceito para criar seu próprio Taltos, um ser complexo que já nasce com habilidades de adultos.
 

É um antigo Taltos, chamado Ashlar, que revela os detalhes da linearidade e desta mitologia: os Taltos, perseguidos pelos celtas, buscaram abrigo entre uma tribo chamada os Pequenos (The Picts). Esta tribo britânica impressionou Anne Rice por ter controlado a Escócia durante séculos, desaparecendo depois completamente, deixando apenas alguns estranhos artefatos para provar a sua existência.
 

Taltos possui todos os elementos típicos da autora: conflitos pessoais, tramas paralelas e uma rica tapeçaria de elementos históricos, religiosos e da cultura pop – dando dimensões épicas ao mundo sobrenatural.
"
A Hora das Bruxas II,Anne Rice,,"Continua a saga dos Mayfair, com suas tragédias e mistérios. Rowan toma posse da casa, da esmeralda e do legado. Mas, de quebra, leva também Lasher e sua maldição. Cabe agora a Rowan decidir-se entre o amor de Michael Curry e a sedução desse ser poderoso que quer ficar nesse mundo para sempre. 
"
O Servo dos Ossos,Anne Rice,,"Depois de ter criado os fantásticos universos dos vampiros, das Bruxas Mayfair e até da múmia de Ramsés, a autora envereda por outra saga no terreno do oculto. Seu herói é um judeu chamado Azriel, o fantasma, servo dos ossos. Azriel é um viajante imortal, poderoso, inteligente e tão sedutor que conquistou o coração da própria escritora. Ela se declarou tão entusiasmada com o personagem que até pensou em fazê-lo ocupar o espaço de Lestat, sua criação mais famosa.
 

Como Lestat, Azriel se rebela ao ser transformado em imortal por feiticeiros com objetivos maléficos. Ele vaga pelos séculos sem nunca estar nefesh - ou seja, com o corpo e a alma juntos. Azriel nos revela sua impressionante história desde a juventude na Babilônia, passando pela Europa da Idade Média até chegar a Manhattan dos anos 1990, onde volta a encontrar seu destino.
 

O personagem irá confrontar-se com um ambicioso e carismático multibilionário, o televangelista e terrorista Gregory Belkin - uma versão atualizada dos seus demoníacos inimigos. Ele terá que usar todos os seus poderes para conter uma conspiração que coloca o mundo em risco.
 

Antes de começar a escrever o livro, Anne Rice realizou uma profunda pesquisa sobre as origens e evolução da cultura hebraica, desde antes da Babilônia até a imigração para a América durante a Segunda Guerra Mundial. Como conseqüência natural, ""O Servo dos Ossos"" está recheado de referências judaicas, como a Cabala. Rice foi ainda mais cuidadosa do que em ""Memnoch"", crônica vampiresca que deu origem a diversos protestos de católicos - no livro, o vampiro Lestat encontra com o diabo e tem uma nova visão dos papéis do demônio e de Deus.
"
O Vitral Encantado,Diana Wynne Jones,Record,"O avô de Andrew Hope acabou de falecer e lhe deixou seu casarão como herança. Mas muito mais do que isso. Ele era um grande mago e Andrew herdou também o campo de proteção da propriedade (o que automaticamente o torna responsável pela segurança de todos os que vivem ali) e um curioso artefato: um vitral de muitas cores e claramente mágico. Quando o jovem Aidan Cain, caçado pelos temidos Perseguidores, surge em sua porta à procura de abrigo, Andrew encontra nele um amigo para desbravar os arredores do casarão. Mas com Aidan ele vai descobrir que o passado de sua família pode ter muito mais magia do que imaginava. Diana Wynne Jones nos proporciona uma aventura delicada e cheia de humor britânico moderno. Vitral Encantado é um prato cheio para os fãs de Neil Gaiman e outros autores de fantasia.
"
O Jogo do Exterminador,Orson Scott Card,,"No romance, Ender Wiggin é uma criança de seis anos de idade, quando é recrutado para a Escola de Combate Espacial. No futuro criado por Orson Scott Card, a humanidade está em guerra com alienígenas invasores, e muitos dos combates são travados em outros sistemas solares, distantes do nosso. Como não existe uma tecnologia de vôo mais rápido que a luz, nessa ficção científica, os muito jovens são recrutados porque eles estarão maduros quando estiveram em batalha ou quando retornarem à Terra. Usar crianças-soldados como personagens também foi um modo do autor afirmar que toda guerra é um processo de destruição da inocência. O romance de ficção científica O Jogo do Exterminador foi originalmente lançado nos Estados Unidos em 1985. Ele é uma expansão da noveleta O Jogo do Exterminador, que foi a grande responsável pelo fato de seu autor, Orson Scott Card, ter recebido o Prêmio John W. Campbell, Jr. de melhor escritor estreante, em 1978. A versão romance recebeu os prêmios Hugo 1986 e Nebula 1985 - os dois principais prêmios da ficção científica em língua inglesa. O livro também está na lista de clássicos de John Clute, considerado um dos principais críticos de ficção científica. O Jogo do Exterminador foi publicado no Brasil em 1990, com esse mesmo título, pela Editora Aleph, quando recebeu o Prêmio Nova de Ficção Científica, conferido pela comunidade brasileira de FC."
A Princesa de Gelo,Camila Läckberg,Planeta,"De regresso à cidadezinha onde nasceu depois da morte dos pais, a escritora Erica Falk encontra uma comunidade à beira da tragédia. A morte da sua amiga de infância, Alex, é só o princípio do que está para vir. Com os pulsos cortados e o corpo mergulhado na água congelada da banheira, tudo leva a crer que Alex se suicidou. Erica, que não a via desde a infância, vê-se de repente no centro dos acontecimentos e ao mesmo tempo, Patrik Hedström, que investiga o caso, começa a perceber que as coisas nem sempre são o que parecem. Mas só quando ambos começam a trabalhar juntos é que vem a verdade sobre aquela cidadezinha com um passado profundamente perturbador.
 

Uma trama que mostra por que Camilla Läckberg é considerada a nova Agatha Christie
"
A nova ordem mundial,Elle Casey,Geração Editorial,"Jayne e seus amigos estão numa encruzilhada, tendo que enfrentar a batalha final que decidirá a formação da nova ordem exigida pelo mundo sempre em guerra entre os Fae da Luz e da Escuridão. Jayne se encontra numa encruzilhada não somente no terreno da estratégia e da magia, mas também do coração, que está dividido entre seu anjo da guarda e seu amigo íncubo, Chase e Spike. Acontecimentos inesperados darão um toque surpreendente de romantismo e lágrimas neste último volume da “Guerra dos Fae”.
 

Surpresas após surpresas são mantidas até o final, que será ainda mais surpreendente para os fãs da insolente e destemida Jayne. E estão de volta o bom humor com o pixie Tim e suas palhaçadas, bem como todos os perigos de um mundo onde de cada personagem ou situação pode brotar uma revelação inesperada, exigindo novas lutas e difíceis adaptações.
 

O mundo de aventuras de Elle Casey em “A Guerra dos Fae” tem aqui um encerramento apoteótico e brilhante.
"
A Noiva Fantasma,Yangsze Choo,DarkSide,"Certa noite, meu pai me perguntou se eu gostaria de me tornar uma noiva fantasma...
 

1893. Li Lan é uma jovem que recebeu educação e cultura, mas que vive sem grandes perspectivas depois da falência de seus pais. Até surgir uma proposta capaz de mudar sua vida para sempre: casar-se com o herdeiro de uma família rica e poderosa. Há apenas um detalhe: seu noivo está morto.
 

A Noiva Fantasma é o surpreendente romance de estreia de Yangsze Choo, a escritora de ascendência oriental que está encantando fãs por todo o mundo.
 

Por mais fantásticas que pareçam, as noivas fantasmas ainda resistem até hoje em parte da cultura asiática. A prática, que chegou a ser banida por Mao Tsé-Tung durante a Revolução Cultural, foi muito frequente na China e na Malaia (hoje Malásia) no final do século XIX. O casamento era usado para tranquilizar um espírito inquieto, e garantir um lar e estabilidade para as mulheres que diziam sim a maridos já falecidos. É claro que elas tinham um preço alto a pagar, e com Li Lan não seria diferente.
 

Evocando obras como Lugar Nenhum, de Neil Gaiman, essa obra é uma história impressionante sobre o amor sobrenatural e sobre o amadurecimento, escrita por uma extraordinária nova voz da ficção contemporânea
"
As crianças trocadas,Elle Casey,Geração Editorial,"Jayne é uma adolescente rebelde e desbocada. Não se encaixa em lugar algum. Sem dinheiro e sem rumo, ela e seu colega de escola Tony fogem de casa e encontram outros jovens em situação semelhante. Uma misteriosa organização oferece-lhes dinheiro para participarem de um estranho e suspeito experimento envolvendo uma competição. Sequestrados e lançados numa sinistra floresta repleta de seres sobrenaturais assustadores, os garotos precisam enfrentar perigos inimagináveis e vencer a prova, quando Jayne descobre-se possuidora de dons especiais de que nunca suspeitou, poderes de que precisará desesperadamente, para sobreviver num mundo paralelo ao mundo real… o mundo dos Fae.
 

Abandone-se à leitura desta fantasia surpreendente, repleta de ação, suspense, magia e muito humor, escrita por um dos grandes talentos contemporâneos da literatura jovem.
"
O Evangelho de Sangue,James Rollins & Rebecca Cantrell,Rocco,"Autores de vários bestsellers, James Rollins e Rebecca Cantrell combinam seus talentos – ele, a habilidade em misturar ciência e mistérios históricos; ela, a perícia em criar uma atmosfera de suspense e sensualidade – em mais uma parceria de sucesso. Primeiro volume da série A Ordem dos Sanguinistas, O evangelho de sangue é um thriller gótico sobre vampiros (e outros seres sobrenaturais), uma ordem ancestral e a busca por um livro milagroso, há muito perdido. Ação e mistério ditam o tom da trama, uma bem-sucedida mistura de Entrevista com o vampiro com O Código Da Vinci.
"
O livro secreto,Grégory Samak,,"Ao fim da vida, Elias Ein decide se mudar para uma cidade isolada na Áustria, em busca de tranquilidade para aproveitar sua aposentadoria. Um tempo depois de se instalar em sua nova casa, ele descobre uma escada escondida que dá acesso a uma vasta biblioteca com obras incríveis. E entre elas, Elias descobre algo maravilhoso: o Grande Livro da Vida, uma obra sagrada em que Deus escreveu sobre o destino de cada ser humano. As citações extraordinárias do livro secreto possibilitam interferir no curso da história.
 

Fascinado pelo poder da obra, Elias, que testemunhou a ascensão do nazismo ao poder e perdeu familiares durante o Holocausto, decide usá-la para mudar o destino. Ele vai tentar salvar aqueles que ama, mas, sabe que, acima de tudo, é o destino de todo um povo que está em jogo. Com um segredo em mãos e muitas decisões a tomar, Elias vai viver uma aventura que o levará mais longe do que podia imaginar. Uma história atemporal, cativante e sensível, que mistura elementos fantásticos e fatos históricos, O Livro Secreto fala sobre amizade e coragem, ódio e covardia.
"
Luz e Trevas,Elle Casey,Geração Editorial,"Os Fae da luz em combate contra os Fae das trevas Jayne Sparks está mais destemida do que nunca! 
 

O terceiro volume da série “GUERRA DOS FAE, LUZ E TREVAS”, é uma vitória definitiva do estilo de Elle Casey nesta saga consagrada pelo sucesso entre os leitores jovens americanos e brasileiros. 
 

Jayne Sparks está mais destemida, engraçada e rebelde do que nunca, tendo que enfrentar os problemas causados acidentalmente pelo duende Tim, aprender a manipular melhor seus poderes com O Verde, conhecer traições de um grande amigo e descobrir quais são os motivos secretos pelos quais há uma guerra incessante entre Faes das Trevas e Faes da Luz. Seus poderes podem torná-la vulnerável às manipulações dos Fae das Trevas, e ela poderá torna-se prisioneira de forças inimigas. Mas sua astúcia sempre estará lá. 
 
"
Chamado às Armas,Elle Casey,Geração Editorial,"Chegou a hora da guerra no segundo volume da série 'A Guerra dos Fae! 
 

Em Chamado às Armas', os Fae da luz são convocados a fazer uma importante mudança e treinar seus dons mágicos para enfrentar os Fae das Trevas. 
 

Jayne Sparks e seus amigos Spike, Chase, Finn e Becky estão na iminência de uma guerra sangrenta e devem sofrer uma mudança, como crianças trocadas, para serem membros dos Fae da Luz com identidades mágicas. Poderão se transformar em elfos, ninfas, daemons, íncubos, anões e duendes verdes, querendo ou não aceitar suas novas identidades, desapontando-se com elas ou não. 
 

Como será resolvida a questão entre os Fae da Luz e os Fae das Trevas? 
 

Serão Jayne e seu grupo de amigos capazes de dar conta de uma missão tão espinhosa? Muitas respostas a estas perguntas, e outras tantas que foram provocadas pelo primeiro volume da série, serão respondidas aos leitores. E surgirão novos e fascinantes enigmas.
"
Alice: Aventuras de Alice no País das Maravilhas & Através do Espelho,Lewis Carroll,,"A premiada Edição Comentada e Ilustrada de ""Alice"" ganha novo formato, seguindo o padrão da coleção Clássicos Zahar. O livro reúne ""Aventuras de Alice no País das Maravilhas"" e sua continuação, ""Através do Espelho e o que Alice Encontrou por Lá"", obras-primas de Lewis Carroll. 
 

Além da primorosa tradução vencedora do Prêmio Jabuti, o livro inclui centenas de notas esclarecendo passagens antes nebulosas, trocadilhos de época, enigmas lógicos e referências à vida pessoal do autor, elaboradas por Martin Gardner, um dos maiores especialistas em Carroll. Traz ainda todas as incríveis ilustrações originais de John Tenniel, além de esboços recém-descobertos; introdução situando esses clássicos no contexto da Inglaterra vitoriana; bibliografia da obra de Lewis Carroll, enriquecida com edições em português; filmografia elencando adaptações de Alice para o cinema, a televisão e desenhos animados; e um episódio inédito de Através do Espelho: ""O Marimbondo de Peruca"". 
"
O Quarto Dia,Sarah Lotz,,"Em O Quarto Dia, Sarah Lotz conduz o leitor por uma viagem de réveillon que tinha tudo para ser perfeita. Mas às vezes o novo ano reserva surpresas desagradáveis... 
 

Janeiro de 2017. Após cinco dias desaparecido, o navio O Belo Sonhador é encontrado à deriva no golfo do México. Poderia ser só mais um caso de falha de comunicação e pane mecânica... se não fosse por um detalhe: não há uma pessoa viva sequer no cruzeiro. 
 

As autoridades acham indícios de uma epidemia de norovírus, mas apenas descobrem os corpos de duas passageiras. Para piorar, todos os registros e gravações de bordo sofreram danos irreparáveis. 
 

Como milhares de pessoas podem ter sumido sem deixar rastro? 
 

Teorias da conspiração se alastram, mas só há uma certeza: 2.962 passageiros e tripulantes simplesmente desapareceram no mar do Caribe. 
 
"
A bela e a adormecida,Neil Gaiman,Rocco,"Era o reino mais próximo ao da rainha, em linha reta, como voa o corvo, mas nem os corvos voavam até lá. Você pode achar que conhece esta história. Uma jovem rainha está prestes a se casar. Há anões bons, corajosos e valentes; um castelo envolto em espinhos; e uma princesa enfeitiçada por uma bruxa, segundo dizem os boatos, em um sono eterno. Mas aqui não há ninguém esperando que apareça um nobre príncipe em seu fiel cavalo. Este conto de fadas é tecido com um fio de magia negra, que vira e revira, brilha e reflete. Uma rainha pode acabar se revelando uma heroína, se uma princesa precisar ser salva."
Enquanto Bela Dormia,Elizabeth Blackwell,,"Nos salões de um castelo, uma confidente leal guardou por muitos anos os segredos de uma rainha linda e melancólica, uma princesa que só queria ser livre e uma mulher que sonhava com a coroa. Esta é sua história.
 

Ambientada em meio ao luxo e às agruras de um reino medieval, esta releitura de A Bela Adormecida consegue ser fiel ao clássico ao mesmo tempo que constrói uma narrativa recheada de elementos contemporâneos. Nessa mescla, os dramas de seus personagens – um casal infértil, uma jovem que não aceita viver em uma redoma e uma família despedaçada pela inveja – tornam-se atemporais. 
 

Quando a rainha Lenore não consegue engravidar, recorre aos supostos poderes mágicos da tia do rei, Millicent. Com sua ajuda, nasce Rosa, uma menina linda e saudável. No entanto, a alegria logo dá lugar às sombras: o rei expulsa de suas terras a tia arrogante, que então jura se vingar. Seu ódio se torna a maldição que ameaça a vida de Rosa. Assim, a menina cresce presa entre os muros do castelo, cercada dos cuidados dos pais e de Flora, a tia bondosa e dedicada do rei que encarna a fada boa do conto original. 
 

Mas quando todas as tentativas de proteger Rosa falham, é Elise, a dama de companhia e confidente da princesa, sua única chance de se manter viva. E é pelos olhos dessa narradora improvável que conhecemos todos os personagens, nos surpreendemos com o destino de cada um e descobrimos que, quando se guia pelo amor – a magia mais poderosa do mundo –, qualquer pessoa é capaz de criar o próprio final feliz.
"
Escola de vilões,Jen Calonita,,"Gilly não se considera exatamente uma garota má... Porém, quando se tem cinco irmãos e irmãs mais novos, é preciso ser criativo para ajudar nas despesas. Ela é uma ladra muito boa, e disso tem certeza e pode se gabar. Até ser pega.
 

Depois de roubar uma presilha, é sentenciada a passar três meses no Reformatório de Contos de Fadas – no qual os professores são aqueles antigos vilões que já conhecemos, como o grande Lobo Mau e a malvada Madrasta da Cinderela. Quando, porém, ela faz amizade com alguns estudantes, como Jax e Kayla, aprende que esse reformatório vai muito além de sua missão heroica. Há uma batalha ganhando forma e Gilly precisa descobrir: os vilões podem realmente mudar?
 

Descubra o Lado B dos contos de fadas.
"
A Batalha do Labirinto,Rick Riordan,Intrínseca,"O Monte Olimpo está em perigo. Cronos, o perverso titã que foi destronado e feito em pedaços pelos doze deuses olimpianos, prepara um retorno triunfal. O primeiro passo de suas tropas será atacar e destruir o campo de treinamento dos heróis, filhos de deuses com mortais, que desde a Grécia Antiga combatem na linha de frente em defesa dos olimpianos. Para assegurar que esse refúgio de semideuses - o Acampamento Meio-Sangue - não seja invadido, Percy Jackson e um jovem ciclope, ambos filhos de Poseidon, Annabeth Chase, filha de Atena, e Grover, um sátiro, são destacados para uma importante missão: deter as forças de Cronos antes que se aproximem do acampamento.
"
Starters,Lissa Price,Novo Conceito,"Seu mundo mudou para sempre. Callie perdeu os pais quando as guerras de Esporos varreu todas as pessoas entre 20 e 60 anos. Ela e seu irmão mais novo, Tyler, estão se virando, vivendo como desabrigados com seu amigo Michael e lutando contra rebeldes que os matariam por uma bolacha. A única esperança de Callie é Prime Destinations, um lugar perturbado em Berverly Hills que abriga uma misteriosa figura conhecida como o Old Man. Ele aluga adolescentes para alugar seus corpos aos Terminais — idosos que desejam ser jovens novamente.
 

Callie, desesperada pelo dinheiro que os ajudará a sobreviver concorda em ser uma doadora. Mas o neurochip que colocam em Callie está com defeito e ela acorda na vida de sua locadora, morando em uma mansão, dirigindo seus carros e saindo com o neto de um senador. Parece quase um conto de fadas, até Callie descobrir que sua locatária pretende fazer mais do que se divertir — e que os planos de Prime Destinations são tão diabólicos que Callie nunca podia ter imaginado...
"
O Último Guardião,Eoin Colfer,,"Não há nada capaz de abalar Artemis Fowl. Pelo menos, quando esse nada é mortal. Já no universo das fadas, a verdade é bem diferente. Opala Koboi se tornou uma pedra no caminho deste prodígio do crime. Uma pedra que acaba de retornar… com mais um plano capaz de criar o caos nos dois mundos. Dessa vez, a malvada arqui-inimiga de Artemis está invocando os espíritos dos Furiosos, guerreiros milenares que prometem obediência a quem os libertar.
 

As criaturas não podem sobreviver neste plano sem um corpo e acabam se apoderando de qualquer ser vivo que cruze seu caminho. Incluindo os irmãos mais novos de Artemis. Os guerreiros parecem não compreender que a batalha que travavam antes de morrer há muito acabou. Artemis tem até o amanhecer para exorcizar os espíritos do corpo de seus irmãos e enviá-los de volta ao lugar de descanso. Será que nosso anti-herói conseguirá a ajuda de certa capitã nesta missão?
 
"
O Paradoxo do Tempo,Eoin Colfer,,"Angeline Fowl, mãe do incrível menino prodígio do crime, contraiu uma doença potencialmente fatal. A única cura possível é o fluido de uma raça de lêmures cuja extinção foi, infelizmente, causada pelo próprio Artemis… Agora, ele terá que convocar seus amigos do Povo das Fadas para ajudá-lo a voltar no tempo e salvar o animal. E, como se esse desafio já não fosse o suficiente, ele ainda terá que enfrentar um adversário a sua altura: ele mesmo, aos dez anos.
 
"
O Ultimo Olimpiano,Rick Riordan,Intrínseca,"Os meios-sangues passaram o ano inteiro preparando-se para a batalha contra os titãs, e sabem que as chances de vitória são pequenas. O exército de Cronos está mais poderoso que nunca, e cada novo deus ou semideus que se une à causa confere mais força ao vingativo Senhor do Tempo. Enquanto os olimpianos se ocupam de conter a fúria do monstro Tifão, Cronos avança em direção à cidade de Nova York, onde o Monte Olimpo está precariamente vigiado. 
 
"
O Menino Prodígio do Crime,Eoin Colfer,Galera,"Artemis Fowl é a história de um garoto diferente. O autor criou um anti-herói mal-humorado e pessimista que, com apenas 12 anos, é um gênio do crime. Misturando ação, internet e magia, Artemis Fowl vem conquistando uma legião de leitores em todo mundo. 
 

Artemis é o único herdeiro do clã Fowl, uma lendária família de personagens do submundo, célebres na arte da trapaça. O garoto imagina um plano para recuperar a fortuna de sua família, após o desaparecimento misterioso de seu pai. Seu plano poderia derrubar civilizações e mergulhar o planeta numa guerra entre espécies. 
 

O garoto começa a pôr seu plano em prática em Ho Chi Minh, a calorenta capital do Vietña, em pleno século XXI. Lá, aliando tecnologia de ponta a seus dons criminosos, ele chantageia uma fada decadente para roubar seu Livro, objeto que permitirá desvendar os segredos do Povo das Fadas e descobrir onde esse povo guarda uma enorme reserva de ouro.
 

O único problema é que o Livro está em gnomês - o idioma das fadas, um alfabeto ancestral, jamais decifrado por um humano. De volta à sua segura mansão na Irlanda, ele trabalha freneticamente, com a ajuda de seu superpotente computador, até conseguir desvendar o código e traduzir o texto. Mais isso é só o início.
"
O Mar de Monstros,Rick Riordan,Intrínseca,"Segundo volume da saga Percy Jackson e os olimpianos, O Mar de Monstros narra as novas aventuras de Percy e seus amigos na busca do Velocino de ouro, o único artefato mágico capaz de proteger o Acampamento Meio-Sangue da destruição.
 

É com essa missão que ele e outros campistas partem para uma eletrizante viagem pelo Mar de Monstros, onde deparam com seres fantásticos, perigos e situações inusitadas.
"
O Ladrao de Raios,Rick Riordan,Intrínseca,"Primeiro volume da saga Percy Jackson e os olimpianos, O ladrão de raios esteve entre os primeiros lugares na lista das séries mais vendidas do The New York Times. O autor conjuga lendas da mitologia grega com aventuras no século XXI. Nelas, os deuses do Olimpo continuam vivos, ainda se apaixonam por mortais e geram filhos metade deuses, metade humanos, como os heróis da Grécia antiga. Marcados pelo destino, eles dificilmente passam da adolescência. Poucos conseguem descobrir sua identidade. 
"
Nicolau São Norte e a Batalha Contra o Rei dos Pesadelos,William Joyce,,"Primeiro livro do segmento juvenil da série “Os Guardiões da Infância”, William Joyce conta a verdadeira história de ninguém menos que Papai Noel. Muito antes de ser São Nicolau (ou Santa Claus), o homem de barbas brancas como a neve era conhecido como Norte, um destemido e notório espadachim fora da lei. Como todo bom aspirante a herói, este lutador um tanto quanto diferente é colocado à prova.
 

Somente quando os verdadeiros vilões entram em cena é que Norte encontra outro uso para suas famosas habilidades, transformando-se num dos heróis mais adorados por crianças do mundo inteiro. Tudo começa quando o maldoso Breu, o Rei dos Pesadelos, e seu exército de Medonhos e Homens-pesadelo surgem para roubar os sonhos de milhares de crianças inocentes e substituí-los pelos terrores da noite.
 

É quando o sábio e influente mago Ombric Shalazar, residente do “lugar dos sonhos”, sua protegida Katherine e o nosso anti-herói Nicolau São Norte surgem para salvar o dia, ou melhor, a noite, de vários pequeninos.
"
Herança,Christopher Paolini,Rocco,"Até bem pouco tempo, Eragon nada mais era do que um pobre garoto da fazenda, e seu dragão, Saphira, apenas uma pedra azul na floresta. Em Herança, o destino de toda uma civilização está sobre seus ombros. Fortalecidos por longos treinamentos e incontáveis batalhas, Eragon e Saphira somam muitas vitórias, mas também colecionam as dores de perdas muito difíceis. Agora, a derradeira batalha está para começar. O Cavaleiro e seu dragão chegaram mais longe do que qualquer um ousou imaginar. Mas será que eles serão capazes de derrubar o poderoso tirano Galbatorix e restaurar a justiça no reino da Alagaësia? E se conseguirem, qual será o custo da vitória?
"
Eragon,Christopher Paolini,Rocco,"Eragon é uma história repleta de ação, vilões e locais fantásticos, com dragões e elfos, cavaleiros, lutas de espadas, inesperadas revelações e uma linda donzela. Inspirado em JRR Tolkien, que criou idiomas para os diálogos de seus personagens, Paolini utiliza o norueguês medieval para a linguagem dos elfos e inventa expressões específicas para os anões e os urgalos, de modo a dar veracidade ao lendário reino de Alagaësia, onde a guerra está prestes a começar.
"
